Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
NetflixP18+Other,P18+,Other,Netflix,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Amazon PrimeP18+Other,P18+,Other,Amazon Prime,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Samsung In-StreamP18+Other,P18+,Other,Samsung In-Stream,0.652742188,0.958326944,0.605622285,0.760354374,0.760354374,0.730385893,0.682817957,0.644092342,0.605622285,0.57279155,0.548632763,0.522088764,0.481625351,0.451077605,1,1,1,1,0.958326944,0.872657428,0.816163304,0.764125933,0.700537365,0.652742188
Linear TV Metro & RegionalP18-4415sec,P18-44,15sec,Linear TV Metro & Regional,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV MetroP18-4415sec,P18-44,15sec,Linear TV Metro,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV RegionalP18-4415sec,P18-44,15sec,Linear TV Regional,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Seven NetworkP18-4415sec,P18-44,15sec,Linear TV Metro 5 Cap Seven Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Nine NetworkP18-4415sec,P18-44,15sec,Linear TV Metro 5 Cap Nine Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap Ten NetworkP18-4415sec,P18-44,15sec,Linear TV Metro 5 Cap Ten Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
Linear TV Metro 5 Cap SBS NetworkP18-4415sec,P18-44,15sec,Linear TV Metro 5 Cap SBS Network,0.517456817,0.786990077,0.250716648,0.389195149,0.389195149,0.343256156,0.308563028,0.27783903,0.250716648,0.221903712,0.206247703,0.185446527,0.165453877,0.144579199,1,1,0.950753399,0.847115031,0.786990077,0.718191841,0.665711136,0.613450937,0.562954796,0.517456817
