Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential 
P25-54,Linear TV Metro 5 Cap Ten Network,3 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Ten Network3 Weeksoneplus0,2337661.44,772.42,-0.53,10700000
P25-54,Linear TV Metro 5 Cap SBS Network,3 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap SBS Network3 Weeksoneplus0,1068657.444,772.42,-0.53,10700000
P25-54,Linear TV Regional 4 Seven Network,3 Weeks,oneplus,0,P25-54Linear TV Regional 4 Seven Network3 Weeksoneplus0,1452666.942,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 Nine Network,3 Weeks,oneplus,0,P25-54Linear TV Regional 4 Nine Network3 Weeksoneplus0,1517972.283,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 Ten Network,3 Weeks,oneplus,0,P25-54Linear TV Regional 4 Ten Network3 Weeksoneplus0,1004715.594,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 SBS Network,3 Weeks,oneplus,0,P25-54Linear TV Regional 4 SBS Network3 Weeksoneplus0,459303.804,706.21,-0.53,10700000
P25-54,Foxtel Linear,3 Weeks,oneplus,0,P25-54Foxtel Linear3 Weeksoneplus0,1738645.182,662.07,-0.53,10700000
P25-54,YouTube TrueView,3 Weeks,oneplus,0,P25-54YouTube TrueView3 Weeksoneplus0,6923970,26084.89,-0.78,10700000
P25-54,YouTube Instant Reserve,3 Weeks,oneplus,0,P25-54YouTube Instant Reserve3 Weeksoneplus0,6923970,1547.05,-0.53,10700000
P25-54,YouTube Select,3 Weeks,oneplus,0,P25-54YouTube Select3 Weeksoneplus0,4687358.166,728.28,-0.53,10700000
P25-54,YouTube OMG Select,3 Weeks,oneplus,0,P25-54YouTube OMG Select3 Weeksoneplus0,3031638.714,81328,-0.92,10700000
P25-54,Nine Now,3 Weeks,oneplus,0,P25-54Nine Now3 Weeksoneplus0,1848844.772,696.92,-0.53,10700000
P25-54,Ten Play,3 Weeks,oneplus,0,P25-54Ten Play3 Weeksoneplus0,1147213.791,410,-0.52,10700000
P25-54,Seven Plus,3 Weeks,oneplus,0,P25-54Seven Plus3 Weeksoneplus0,806683.9745,390,-0.58,10700000
P25-54,SBS On Demand,3 Weeks,oneplus,0,P25-54SBS On Demand3 Weeksoneplus0,708677.5125,522.69,-0.61,10700000
P25-54,Kayo,3 Weeks,oneplus,0,P25-54Kayo3 Weeksoneplus0,1460296.337,2251.05,-0.53,10700000
P25-54,Foxtel Go,3 Weeks,oneplus,0,P25-54Foxtel Go3 Weeksoneplus0,672680.7435,2206.91,-0.53,10700000
P25-54,Binge,3 Weeks,oneplus,0,P25-54Binge3 Weeksoneplus0,285065.163,2648.3,-0.53,10700000
P25-54,Netflix,3 Weeks,oneplus,0,P25-54Netflix3 Weeksoneplus0,445483.929,2206.91,-0.82,10700000
P25-54,Optus Sport,3 Weeks,oneplus,0,P25-54Optus Sport3 Weeksoneplus0,442000,2206.91,-0.9,10700000
P25-54,Amazon Prime,3 Weeks,oneplus,0,P25-54Amazon Prime3 Weeksoneplus0,1352349.907,2206.91,-0.8,10700000
P18-44,Linear TV Metro & Regional,3 Weeks,oneplus,0,P18-44Linear TV Metro & Regional3 Weeksoneplus0,5940000,642,-0.55,9700000
P18-44,Linear TV Metro,3 Weeks,oneplus,0,P18-44Linear TV Metro3 Weeksoneplus0,3915000,680.91,-0.55,9700000
P18-44,Linear TV Regional,3 Weeks,oneplus,0,P18-44Linear TV Regional3 Weeksoneplus0,2117085.714,622.55,-0.55,9700000
